id,learning_rate,num_train_epochs,seed,train_acc,dev_acc,test_acc
0,5.9999999999999995e-05,10,42,0.4950413223140496,0.5379746835443038,0.5247747747747747
1,5.9999999999999995e-05,20,42,0.5710743801652892,0.6012658227848101,0.4819819819819821
2,5.9999999999999995e-05,30,42,0.4950413223140496,0.5316455696202531,0.4819819819819821
3,5e-05,10,42,0.6231404958677685,0.6265822784810127,0.5
4,5e-05,20,42,0.6231404958677685,0.6360759493670886,0.4797297297297297
5,5e-05,30,42,0.6471074380165289,0.6645569620253164,0.5112612612612613
6,4e-05,10,42,0.6198347107438017,0.629746835443038,0.536036036036036
7,4e-05,20,42,0.6330578512396694,0.6487341772151899,0.5112612612612613
8,4e-05,30,42,1.0,0.6677215189873418,0.6846846846846847
9,2.9999999999999997e-05,10,42,0.6471074380165289,0.6044303797468354,0.490990990990991
10,3e-05,20,42,0.5247933884297521,0.5854430379746836,0.5315315315315315
11,2.9999999999999997e-05,30,42,0.7909090909090909,0.6613924050632911,0.6328828828828829
12,2e-05,10,42,0.6214876033057851,0.6044303797468354,0.5180180180180181
13,2e-05,20,42,1.0,0.7405063291139241,0.7635135135135135
14,2e-05,30,42,1.0,0.7278481012658228,0.7364864864864865
