run_no,seed,train,dev,test,test_adv
1,1231,0.4487603305785124,0.5284810126582279,0.4572072072072072,0.5405405405405406
2,6205,0.9859504132231404,0.5332278481012658,0.6869369369369369,0.34234234234234234
3,5981,0.4822314049586777,0.5379746835443038,0.4707207207207208,0.5067567567567568
4,9119,0.4900826446280992,0.5221518987341772,0.4954954954954955,0.527027027027027
5,7618,0.4991735537190083,0.5205696202531646,0.5112612612612613,0.4797297297297297
6,9734,0.4855371900826446,0.5189873417721519,0.4887387387387387,0.4752252252252252
7,1801,0.3739669421487603,0.5221518987341772,0.47297297297297297,0.5202702702702703
8,1769,1.0,0.5142405063291139,0.6959459459459459,0.3040540540540541
9,403,0.5152892561983471,0.5363924050632911,0.463963963963964,0.5135135135135135
10,4090,0.5479338842975207,0.5284810126582279,0.4954954954954955,0.4864864864864865
11,5579,0.5305785123966942,0.5221518987341772,0.5,0.536036036036036
12,9213,0.4243801652892562,0.5332278481012658,0.5157657657657657,0.4887387387387387
13,729,0.4880165289256198,0.5443037974683544,0.5112612612612613,0.472972972972973
14,5362,0.5111570247933884,0.5205696202531646,0.463963963963964,0.527027027027027
15,852,0.4198347107438016,0.509493670886076,0.5315315315315315,0.48198198198198205
16,9442,0.531404958677686,0.5300632911392406,0.5045045045045045,0.5
17,872,1.0,0.5569620253164557,0.6824324324324325,0.3400900900900901
18,8968,0.5694214876033058,0.5174050632911392,0.5608108108108109,0.47072072072072074
19,5651,0.5239669421487604,0.5174050632911392,0.4436936936936937,0.5067567567567568
20,5970,1.0,0.5284810126582279,0.7162162162162162,0.31756756756756754
