id,learning_rate,dropout_prob,hidden_size,seed,train_acc,dev_acc,test_acc
0,0.3,0.0,128,42,0.6702479338842975,0.6107594936708861,0.481981981981982
1,0.3,0.0,256,42,0.7239669421487603,0.629746835443038,0.5180180180180181
2,0.3,0.0,512,42,0.768595041322314,0.6265822784810127,0.5608108108108109
3,0.3,0.1,128,42,0.6537190082644628,0.6265822784810127,0.4774774774774775
4,0.3,0.1,256,42,0.6743801652892562,0.6265822784810127,0.5180180180180181
5,0.3,0.1,512,42,0.7603305785123967,0.6740506329113924,0.5292792792792793
6,0.2,0.0,128,42,0.6867768595041323,0.6107594936708861,0.509009009009009
7,0.2,0.0,256,42,0.7173553719008264,0.6234177215189873,0.5292792792792793
8,0.2,0.0,512,42,0.7611570247933884,0.629746835443038,0.5382882882882883
9,0.2,0.1,128,42,0.731404958677686,0.6518987341772152,0.5292792792792793
10,0.2,0.1,256,42,0.6884297520661157,0.6645569620253164,0.5225225225225225
11,0.2,0.1,512,42,0.7628099173553718,0.6518987341772152,0.5585585585585585
12,0.1,0.0,128,42,0.7520661157024794,0.6424050632911392,0.5292792792792793
13,0.1,0.0,256,42,0.7925619834710744,0.6392405063291139,0.5292792792792793
14,0.1,0.0,512,42,0.7661157024793388,0.6487341772151899,0.5495495495495496
15,0.1,0.1,128,42,0.7322314049586777,0.6487341772151899,0.5202702702702703
16,0.1,0.1,256,42,0.8190082644628099,0.6455696202531646,0.5382882882882883
17,0.1,0.1,512,42,0.7231404958677686,0.6772151898734177,0.527027027027027
18,0.09,0.0,128,42,0.8033057851239669,0.6234177215189873,0.5067567567567568
19,0.09,0.0,256,42,0.728099173553719,0.629746835443038,0.5247747747747747
20,0.09,0.0,512,42,0.756198347107438,0.6265822784810127,0.5337837837837838
21,0.09,0.1,128,42,0.7586776859504132,0.6613924050632911,0.5337837837837838
22,0.09,0.1,256,42,0.7041322314049587,0.6613924050632911,0.5405405405405406
23,0.09,0.1,512,42,0.7380165289256199,0.6772151898734177,0.509009009009009
24,0.08,0.0,128,42,0.8074380165289257,0.6740506329113924,0.5337837837837838
25,0.08,0.0,256,42,0.8380165289256198,0.6835443037974683,0.536036036036036
26,0.08,0.0,512,42,0.7371900826446282,0.629746835443038,0.5472972972972973
27,0.08,0.1,128,42,0.7925619834710744,0.6613924050632911,0.5225225225225225
28,0.08,0.1,256,42,0.759504132231405,0.6613924050632911,0.5495495495495496
29,0.08,0.1,512,42,0.7512396694214876,0.6487341772151899,0.5225225225225225
30,0.07,0.0,128,42,0.8206611570247934,0.6772151898734177,0.5585585585585585
31,0.07,0.0,256,42,0.6958677685950413,0.6329113924050633,0.5495495495495496
32,0.07,0.0,512,42,0.7743801652892562,0.6550632911392406,0.5495495495495496
33,0.07,0.1,128,42,0.7975206611570248,0.6582278481012658,0.5855855855855856
34,0.07,0.1,256,42,0.7471074380165289,0.6455696202531646,0.5225225225225225
35,0.07,0.1,512,42,0.7371900826446282,0.6582278481012658,0.5563063063063063
36,0.06,0.0,128,42,0.8297520661157025,0.6360759493670886,0.5900900900900901
37,0.06,0.0,256,42,0.871900826446281,0.6487341772151899,0.5315315315315315
38,0.06,0.0,512,42,0.8553719008264463,0.6518987341772152,0.5067567567567568
39,0.06,0.1,128,42,0.743801652892562,0.680379746835443,0.5540540540540541
40,0.06,0.1,256,42,0.8057851239669421,0.6645569620253164,0.5112612612612613
41,0.06,0.1,512,42,0.7909090909090909,0.7120253164556962,0.5878378378378378
42,0.05,0.0,128,42,0.7826446280991736,0.6582278481012658,0.545045045045045
43,0.05,0.0,256,42,0.8330578512396695,0.6455696202531646,0.5472972972972973
44,0.05,0.0,512,42,0.8991735537190083,0.6835443037974683,0.5833333333333334
45,0.05,0.1,128,42,0.8991735537190083,0.689873417721519,0.5698198198198198
46,0.05,0.1,256,42,0.7471074380165289,0.6613924050632911,0.5540540540540541
47,0.05,0.1,512,42,0.7214876033057851,0.6518987341772152,0.5653153153153153
48,0.04,0.0,128,42,0.784297520661157,0.6613924050632911,0.5945945945945946
49,0.04,0.0,256,42,0.9570247933884297,0.6645569620253164,0.5337837837837838
50,0.04,0.0,512,42,0.8330578512396695,0.6360759493670886,0.5495495495495496
51,0.04,0.1,128,42,0.8644628099173554,0.6867088607594937,0.6126126126126126
52,0.04,0.1,256,42,0.868595041322314,0.6708860759493671,0.5472972972972973
53,0.04,0.1,512,42,0.7305785123966942,0.6424050632911392,0.5855855855855856
54,0.03,0.0,128,42,0.7851239669421488,0.6645569620253164,0.5765765765765766
55,0.03,0.0,256,42,0.7553719008264462,0.6613924050632911,0.5585585585585585
56,0.03,0.0,512,42,0.9264462809917355,0.6360759493670886,0.5495495495495496
57,0.03,0.1,128,42,0.7876033057851239,0.6677215189873418,0.5743243243243243
58,0.03,0.1,256,42,0.8669421487603306,0.6582278481012658,0.5630630630630631
59,0.03,0.1,512,42,0.8074380165289257,0.6582278481012658,0.5743243243243243
