run_no,seed,train,dev,test
1,1824,0.8128099173553719,0.5,0.5
2,3745,0.7880165289256198,0.5,0.5
3,3210,0.7578512396694215,0.495253164556962,0.4954954954954955
4,3219,0.8066115702479338,0.5015822784810127,0.49774774774774777
5,6857,0.793801652892562,0.5,0.4988738738738739
6,1326,0.7880165289256198,0.5,0.5011261261261262
7,8045,0.8396694214876033,0.5,0.5
8,8500,0.7764462809917355,0.49841772151898733,0.4988738738738739
9,8845,0.7913223140495868,0.5,0.5
10,2020,0.8045454545454546,0.495253164556962,0.4988738738738739
11,2859,0.7582644628099173,0.5,0.5
12,7941,0.815702479338843,0.49683544303797467,0.5
13,826,0.8132231404958677,0.49841772151898733,0.5
14,9065,0.7892561983471075,0.5,0.4988738738738739
15,9540,0.8458677685950413,0.5015822784810127,0.4988738738738739
16,5042,0.8185950413223141,0.5,0.4988738738738739
17,3515,0.8210743801652892,0.5,0.5
18,8022,0.8322314049586776,0.5,0.5
19,616,0.7714876033057851,0.5015822784810127,0.4988738738738739
20,437,0.778099173553719,0.5015822784810127,0.5
