id,learning_rate,dropout_prob,seed,train_acc,dev_acc,test_acc
0.0,0.2,0.0,42,0.7487603305785124,0.6487341772151899,0.5382882882882883
1.0,0.2,0.1,42,0.759504132231405,0.6518987341772152,0.5202702702702703
2.0,0.1,0.0,42,0.8074380165289257,0.6518987341772152,0.5495495495495496
3.0,0.1,0.1,42,0.815702479338843,0.6139240506329114,0.5315315315315315
4.0,0.09,0.0,42,0.8297520661157025,0.6455696202531646,0.527027027027027
5.0,0.09,0.1,42,0.8239669421487603,0.6044303797468354,0.5427927927927928
6.0,0.08,0.0,42,0.8347107438016529,0.6518987341772152,0.545045045045045
7.0,0.08,0.1,42,0.8305785123966942,0.6107594936708861,0.5405405405405406
1.0,0.2,0.1,1824,0.728099173553719,0.6613924050632911,0.5202702702702703
2.0,0.1,0.0,1824,0.9710743801652892,0.6392405063291139,0.5585585585585585
6.0,0.08,0.0,1824,0.9859504132231405,0.6487341772151899,0.5765765765765766
1.0,0.2,0.1,3745,0.9636363636363636,0.629746835443038,0.5833333333333334
2.0,0.1,0.0,3745,0.8165289256198347,0.6392405063291139,0.5337837837837838
6.0,0.08,0.0,3745,0.8347107438016529,0.6329113924050633,0.5382882882882883
1.0,0.2,0.1,3210,0.7504132231404959,0.620253164556962,0.5202702702702703
2.0,0.1,0.0,3210,0.9834710743801653,0.6424050632911392,0.5833333333333334
6.0,0.08,0.0,3210,0.9652892561983472,0.6329113924050633,0.5675675675675675
1.0,0.2,0.1,3219,0.7694214876033058,0.6772151898734177,0.527027027027027
2.0,0.1,0.0,3219,0.771900826446281,0.6550632911392406,0.5720720720720721
6.0,0.08,0.0,3219,0.8099173553719008,0.6424050632911392,0.5765765765765766
1.0,0.2,0.1,6857,0.9355371900826446,0.6392405063291139,0.5653153153153153
2.0,0.1,0.0,6857,0.956198347107438,0.6044303797468354,0.5698198198198198
6.0,0.08,0.0,6857,0.9553719008264463,0.6360759493670886,0.5585585585585585
